#Time(sec),time frame (ms),average response time (ms),min response time (ms),max response time (ms),number of actions,action throughput (actions/s),number of errors,error throughput (errors/s),error rate (%),response time std deviation (ms)
6,1001,72,37,117,44,9,43,9,50,25
7,1010,41,35,54,54,9,53,9,50,10
8,1001,136,65,307,64,9,63,9,50,81
9,1001,95,56,139,74,9,73,9,50,29
10,1001,106,62,145,84,9,83,9,50,27
11,1000,72,48,153,94,10,93,10,50,29
12,1001,69,44,85,104,9,103,9,50,14
13,1000,65,42,79,114,10,113,10,50,15
14,1001,87,48,151,124,9,123,9,50,33
15,1001,148,59,279,134,9,133,9,50,77
16,1001,42,22,64,144,9,143,9,50,15
17,1001,69,18,184,154,9,153,9,50,47
18,1001,163,59,427,164,9,163,9,50,108
19,1001,149,72,344,174,9,173,9,50,83
20,1001,148,57,269,184,9,183,9,50,67
21,1001,193,110,285,194,9,193,9,50,56
22,1001,235,94,451,204,9,203,9,50,109
23,1001,200,108,294,214,9,213,9,50,49
24,1001,179,84,337,224,9,223,9,50,93
25,1001,242,168,373,234,9,233,9,50,55
26,1001,145,56,319,244,9,243,9,50,76
27,1001,106,41,208,254,9,253,9,50,55
28,1000,63,21,172,264,10,263,10,50,40
29,1001,69,47,114,274,9,273,9,50,24
30,1000,85,46,200,284,10,283,10,50,44
31,1001,50,18,76,294,9,293,9,50,17
32,1000,127,39,355,304,10,303,10,50,107
33,1001,54,18,114,314,9,313,9,50,36
34,1000,78,48,161,324,10,323,10,50,41
35,1001,84,38,176,334,9,333,9,50,47
36,1001,96,32,184,344,9,343,9,50,52
37,1000,46,22,96,354,10,353,10,50,19
38,1000,67,34,145,364,10,363,10,50,33
39,1001,129,42,229,374,9,373,9,50,65
40,1001,130,40,236,384,9,383,9,50,67
41,1001,56,35,128,394,9,393,9,50,26
42,1000,35,25,52,404,10,403,10,50,11
43,1001,60,24,133,414,9,413,9,50,40
44,1064,99,68,198,425,10,424,10,50,39
45,1001,58,34,145,435,9,434,9,50,33
46,1001,106,34,226,445,9,444,9,50,63
47,1000,38,29,55,455,10,454,10,50,11
48,1001,44,29,97,465,9,464,9,50,20
49,1000,43,31,58,475,10,474,10,50,10
50,1001,37,26,49,485,9,484,9,50,10
51,1000,43,28,85,494,9,493,9,50,18
52,1000,40,30,75,504,10,503,10,50,15
53,1001,42,33,62,514,9,513,9,50,10
54,1000,38,30,51,524,10,523,10,50,8
55,1001,53,34,92,534,9,533,9,50,20
56,1000,40,31,56,544,10,543,10,50,8
57,1001,38,28,57,554,9,553,9,50,10
58,1000,42,30,58,564,10,563,10,50,9
59,1001,40,32,89,574,9,573,9,50,18
60,1001,50,30,143,584,9,583,9,50,35
61,1000,34,28,47,594,10,593,10,50,8
