#Time(sec),free memory (MB),used memory %,free usable memory %
3,243,14,91
4,241,15,91
5,240,15,91
6,239,15,91
7,239,15,91
8,239,15,91
9,236,16,90
10,233,17,89
11,232,18,89
12,230,19,89
13,229,19,88
14,228,19,88
15,227,20,88
16,227,20,88
17,226,20,88
18,226,20,88
19,225,20,88
20,225,20,88
21,225,20,88
22,225,20,88
23,224,21,87
24,224,21,87
25,222,21,87
26,222,21,87
27,222,21,87
28,222,21,87
29,222,21,87
30,222,21,87
31,222,21,87
32,222,21,87
33,221,22,87
34,221,22,87
35,220,22,86
36,220,22,86
37,218,23,86
38,216,23,86
39,216,23,86
40,216,23,86
41,216,23,86
42,216,23,86
43,216,23,86
44,216,23,86
45,214,24,85
46,214,24,85
47,214,24,85
48,214,24,85
49,214,24,85
50,214,24,85
51,214,24,85
52,214,24,85
53,214,24,85
54,214,24,85
55,214,24,85
56,214,24,85
57,214,24,85
58,214,24,85
59,214,24,85
60,213,25,85
61,213,25,85
