#Time(sec),time frame (ms),average response time (ms),min response time (ms),max response time (ms),number of actions,action throughput (actions/s),number of errors,error throughput (errors/s),error rate (%),response time std deviation (ms)
4,1001,0,0,0,0,0,0,0,0,0
5,1006,0,0,0,0,0,0,0,0,0
6,1001,0,0,0,0,0,0,0,0,0
7,1000,0,0,0,0,0,0,0,0,0
8,1001,0,0,0,0,0,0,0,0,0
9,1001,0,0,0,0,0,0,0,0,0
10,1000,0,0,0,0,0,0,0,0,0
11,1001,0,0,0,0,0,0,0,0,0
12,1001,0,0,0,0,0,0,0,0,0
13,1000,0,0,0,0,0,0,0,0,0
14,1001,0,0,0,0,0,0,0,0,0
15,1001,0,0,0,0,0,0,0,0,0
16,1000,0,0,0,0,0,0,0,0,0
17,1001,0,0,0,0,0,0,0,0,0
18,1001,0,0,0,0,0,0,0,0,0
19,1000,0,0,0,0,0,0,0,0,0
20,1005,0,0,0,0,0,0,0,0,0
21,1001,0,0,0,0,0,0,0,0,0
22,1034,0,0,0,0,0,0,0,0,0
23,1000,0,0,0,0,0,0,0,0,0
24,1001,0,0,0,0,0,0,0,0,0
25,1001,0,0,0,0,0,0,0,0,0
26,1001,0,0,0,0,0,0,0,0,0
27,1001,0,0,0,0,0,0,0,0,0
28,1000,0,0,0,0,0,0,0,0,0
29,1001,0,0,0,0,0,0,0,0,0
30,1001,0,0,0,0,0,0,0,0,0
31,1001,0,0,0,0,0,0,0,0,0
32,1001,0,0,0,0,0,0,0,0,0
33,1001,0,0,0,0,0,0,0,0,0
34,1000,0,0,0,0,0,0,0,0,0
35,1001,0,0,0,0,0,0,0,0,0
36,1000,0,0,0,0,0,0,0,0,0
37,1001,0,0,0,0,0,0,0,0,0
38,1000,0,0,0,0,0,0,0,0,0
39,1001,0,0,0,0,0,0,0,0,0
40,1000,0,0,0,0,0,0,0,0,0
41,1001,0,0,0,0,0,0,0,0,0
42,1000,0,0,0,0,0,0,0,0,0
43,1001,0,0,0,0,0,0,0,0,0
44,1001,0,0,0,0,0,0,0,0,0
45,1001,0,0,0,0,0,0,0,0,0
46,1000,0,0,0,0,0,0,0,0,0
47,1001,0,0,0,0,0,0,0,0,0
48,1001,0,0,0,0,0,0,0,0,0
49,1001,0,0,0,0,0,0,0,0,0
50,1000,0,0,0,0,0,0,0,0,0
51,1001,0,0,0,0,0,0,0,0,0
52,1001,0,0,0,0,0,0,0,0,0
53,1001,0,0,0,0,0,0,0,0,0
54,1001,0,0,0,0,0,0,0,0,0
55,1000,0,0,0,0,0,0,0,0,0
56,1001,0,0,0,0,0,0,0,0,0
57,1001,0,0,0,0,0,0,0,0,0
58,1001,0,0,0,0,0,0,0,0,0
59,1001,0,0,0,0,0,0,0,0,0
60,1000,0,0,0,0,0,0,0,0,0
61,1001,0,0,0,0,0,0,0,0,0
